Team,Playoff Appearances
Spurs,20
Mavericks,15
Celtics,15
Heat,14
Pacers,15
Lakers,13
Trail Blazers,13
Jazz,12
Bucks,11
Nuggets,11
76ers,11
Raptors,11
Nets,10
Rockets,12
Thunder,12
Hawks,10
Bulls,11
Grizzlies,10
Pistons,11
Magic,10
Suns,8
Clippers,8
Warriors,8
Cavaliers,9
Wizards,8
Pelicans,7
Timberwolves,6
Knicks,6
Kings,7
Hornets,6
